2011-04-25 18:09:17 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2011-04-25 18:09:17 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2011-04-25 18:09:18 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2011-04-25 18:09:18 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/adriencanterot/Sites/Cahier/cake/libs/debugger.php:673) in [/Users/adriencanterot/Sites/Cahier/cake/libs/controller/controller.php, line 742]
2011-04-25 21:18:03 Warning: Warning (512): Method FormHelper::date does not exist in [/Users/adriencanterot/Sites/Cahier/cake/libs/view/helper.php, line 154]
2011-04-25 21:19:40 Warning: Warning (512): Method FormHelper::date does not exist in [/Users/adriencanterot/Sites/Cahier/cake/libs/view/helper.php, line 154]
2011-04-25 21:19:42 Warning: Warning (512): Method FormHelper::date does not exist in [/Users/adriencanterot/Sites/Cahier/cake/libs/view/helper.php, line 154]
2011-04-25 21:24:38 Warning: Warning (2): array_merge() [<a href='http://php.net/function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in [/Users/adriencanterot/Sites/Cahier/cake/libs/view/helpers/form.php, line 241]
2011-04-25 21:24:38 Warning: Warning (2): array_merge() [<a href='http://php.net/function.array-merge'>function.array-merge</a>]: Argument #2 is not an array in [/Users/adriencanterot/Sites/Cahier/cake/libs/view/helpers/form.php, line 716]
2011-04-25 21:42:21 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:42:58 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:44:08 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
2011-04-25 21:44:09 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/adriencanterot/Sites/Cahier/app/views/elements/subjects_documents.ctp, line 1]
